1	48000000	52000000	1	R1_chr1
2	86000000	100500000	2	R2_chr2
2	134500000	138000000	3	R3_chr2
2	183000000	190000000	4	R4_chr2
3	47500000	50000000	5	R5_chr3
3	83500000	87000000	6	R6_chr3
3	89000000	97500000	7	R7_chr3
5	44500000	50500000	8	R8_chr5
5	98000000	100500000	9	R9_chr5
5	129000000	132000000	10	R10_chr5
5	135500000	138500000	11	R11_chr5
6	25000000	35000000	12	R12_chr6
6	57000000	64000000	13	R13_chr6
6	140000000	142500000	14	R14_chr6
7	55000000	66000000	15	R15_chr7
8	7000000	13000000	16	R16_chr8
8	43000000	50000000	17	R17_chr8
8	112000000	115000000	18	R18_chr8
10	37000000	43000000	19	R19_chr10
11	46000000	57000000	20	R20_chr11
11	87500000	90500000	21	R21_chr11
12	33000000	40000000	22	R22_chr12
12	109500000	112000000	23	R23_chr12
20	32000000	34500000	24	R24_chr20
